gender,product_type,name,name_english,website_url,status
Women,Shirt,Áo khoác măng tô,Trench Jackets,www.maisononline.vn/collections/ao-khoac-mang-to-nu,published
Women,Shirt,Áo khoác bóng chày,Varsity Jackets,www.maisononline.vn/collections/ao-khoac-bong-chay-nu,published
Women,Shirt,Áo khoác tweed,Tweed Jackets,www.maisononline.vn/collections/ao-khoac-vai-tweed-nu,published
Women,Shirt,Áo khoác chần bông,Quilted Jackets,www.maisononline.vn/collections/ao-khoac-chan-bong-nu,published
Women,Shirt,Áo khoác phom ôm,Fitted Jackets,www.maisononline.vn/collections/ao-khoac-phom-om-nu,published
Women,Shirt,Áo khoác phom rộng,Oversized Jackets,www.maisononline.vn/collections/ao-khoac-phom-rong-nu,published
Women,Shirt,Áo khoác sơ mi,Shirt Jackets,www.maisononline.vn/collections/ao-khoac-so-mi-nu,published
Women,Shirt,Áo khoác denim,Denim Jackets,www.maisononline.vn/collections/ao-khoac-denim-nu,published
Women,Shirt,Áo khoác gilet,Waistcoats & Gilets,www.maisononline.vn/collections/ao-khoac-gilet-nu,published
Women,Shirt,Áo khoác dệt kim,Knitted Jackets,www.maisononline.vn/collections/ao-khoac-det-kim-nu,published
Women,Shirt,Áo khoác dạ lông cừu,Wool Jackets,www.maisononline.vn/collections/ao-khoac-da-long-cuu-nu,published
Women,Shirt,Áo khoác chần bông dáng dài,Quilted Coats,www.maisononline.vn/collections/ao-khoac-chan-bong-nu,published
Women,Shirt,Áo khoác thể thao,Sports Jackets,www.maisononline.vn/collections/ao-khoac-the-thao-nu,published
Women,Shirt,Áo khoác gió,Lightweight Jackets,www.maisononline.vn/collections/ao-khoac-gio-nu,published
Unisex,Shirt,Áo khoác da,Leather Jackets,www.maisononline.vn/collections/ao-khoac-da-unisex,published
Unisex,Shirt,Áo khoác phao,Puffer Jackets,www.maisononline.vn/collections/ao-khoac-phao-unisex,published
Unisex,Shirt,Áo khoác cardigan,Cardigans Jackets,www.maisononline.vn/collections/ao-khoac-cardigan-unisex,published
Unisex,Shirt,Áo khoác phối mũ,Hooded Jackets,www.maisononline.vn/collections/ao-khoac-phoi-mu-unisex,published
Unisex,Shirt,Áo khoác sơ mi,Shirt Jackets,www.maisononline.vn/collections/ao-khoac-so-mi-unisex,published
Unisex,Shirt,Áo khoác denim,Denim Jackets,www.maisononline.vn/collections/ao-khoac-denim-unisex,published
Unisex,Shirt,Áo khoác gilet,Waistcoats & Gilets,www.maisononline.vn/collections/ao-khoac-gilet-unisex,published
Unisex,Shirt,Áo khoác thể thao,Sports Jackets,www.maisononline.vn/collections/ao-khoac-the-thao-unisex,published
Unisex,Shirt,Áo khoác gió ,Lightweight Jackets,www.maisononline.vn/collections/ao-khoac-gio-unisex,published
Unisex,Shirt,Áo khoác bóng chày,Varsity Jackets,www.maisononline.vn/collections/ao-khoac-bong-chay-unisex,published
Unisex,Shirt,Áo khoác lông,Faux Fur & Shearling Jackets,www.maisononline.vn/collections/ao-khoac-long-unisex,published
Men,Bag,Balo,Backpacks,www.maisononline.vn/collections/balo-nam,published
Men,Bag,Túi tote,Tote Bags,www.maisononline.vn/collections/tui-tote-nam,published
Men,Bag,Túi xách,Bags,www.maisononline.vn/collections/tui-xach-nam,published
Men,Bag,Túi bao tử,Belt Bags,www.maisononline.vn/collections/tui-bao-tu-nam,published
Men,Bag,Túi rút dây,Bucket Bags,www.maisononline.vn/collections/tui-rut-day-nam,published
Men,Bag,Túi đeo chéo,Messenger Bags,www.maisononline.vn/collections/tui-deo-cheo-nam,published
Men,Bag,Túi đeo vai,Shoulder Bags,www.maisononline.vn/collections/tui-deo-vai-nam,published
Men,Bag,Túi cầm tay,Pouch Bags,www.maisononline.vn/collections/tui-cam-tay-nam,published
Men,Bag,Vali & túi du lịch,Luggage & Holdalls,www.maisononline.vn/collections/vali-tui-du-lich-nam,published
Men,Bag,Cặp xách,Briefcases,www.maisononline.vn/collections/cap-xach-tui-dung-laptop-nam,published
Men,Bag,Túi đựng laptop,Laptop Bags,www.maisononline.vn/collections/cap-xach-tui-dung-laptop-nam,published
Men,Wallet,Ví dài,Long Wallets,www.maisononline.vn/collections/vi-dai-nam,published
Men,Wallet,Ví ngắn,Short Wallets,www.maisononline.vn/collections/vi-ngan-nam,published
Men,Wallet,Ví đựng thẻ,Card Holders,www.maisononline.vn/collections/vi-dung-the-nam,published
Men,Wallet,Clutch,Clutches,www.maisononline.vn/collections/clutch-nam,published
Women,Bag,Túi đeo chéo,Crossbody Bags,www.maisononline.vn/collections/tui-deo-cheo-nu,published
Women,Bag,Balo,Backpacks,www.maisononline.vn/collections/balo-nu,published
Women,Bag,Túi tote,Tote Bags,www.maisononline.vn/collections/tui-tote-nu,published
Women,Bag,Túi xách,Bags,www.maisononline.vn/collections/tui-xach-nu,published
Women,Bag,Túi bao tử,Belt Bags,www.maisononline.vn/collections/tui-bao-tu-nu,published
Women,Bag,Túi rút dây,Bucket Bags,www.maisononline.vn/collections/tui-rut-day-nu,published
Women,Bag,Túi đeo vai,Shoulder Bags,www.maisononline.vn/collections/tui-deo-vai-nu,published
Women,Bag,Túi cầm tay,Pouch Bags,www.maisononline.vn/collections/tui-cam-tay-nu,published
Women,Bag,Vali & túi du lịch,Luggage & Holdalls,www.maisononline.vn/collections/vali-tui-du-lich-nu,published
Women,Bag,Túi đựng phụ kiện,Accessories Bags,www.maisononline.vn/collections/tui-dung-phu-kien-nu,published
Women,Wallet,Ví dài,Long Wallets,www.maisononline.vn/collections/vi-dai-nu,published
Women,Wallet,Ví ngắn,Short Wallets,www.maisononline.vn/collections/vi-ngan-nu,published
Women,Wallet,Ví đựng thẻ,Card Holders,www.maisononline.vn/collections/vi-dung-the-nu,published
Women,Wallet,Clutch,Clutches,www.maisononline.vn/collections/clutch-nu,published
Unisex,Bag,Balo,Backpacks,www.maisononline.vn/collections/balo-unisex,published
Unisex,Bag,Túi tote,Tote Bags,www.maisononline.vn/collections/tui-tote-unisex,published
Unisex,Bag,Túi xách,Bags,www.maisononline.vn/collections/tui-xach-unisex,published
Unisex,Bag,Túi bao tử,Belt Bags,www.maisononline.vn/collections/tui-bao-tu,published
Unisex,Bag,Túi đeo chéo,Messenger & Crossbody Bags,www.maisononline.vn/collections/tui-deo-cheo-unisex,published
Unisex,Bag,Túi đeo vai,Shoulder Bags,www.maisononline.vn/collections/tui-deo-vai-unisex,published
Men,Sandal,Dép kẹp,Flip Flops,www.maisononline.vn/collections/dep-kep-nam,published
Men,Sandal,Dép quai chéo,Criss Cross Slides,www.maisononline.vn/collections/dep-quai-cheo-nam,published
Men,Sandal,Dép quai ngang,Slides,www.maisononline.vn/collections/dep-quai-ngang-nam,published
